original_title,overview
Ghost of Dragstrip Hollow,"A group of drag-racing fanatics, members of a Los Angeles club, move into an old deserted mansion and set up shop, making it their headquarters. They hold a Halloween masked ball for the club's grand opening, and invite everyone to come dressed as their favorite monster! Oddly enough, the festivities turn sour when one of the bright youths discovers an impostor among them in the form of an honest-to-gosh live monster who's been hogging all the dances with the best-looking girls"
Queen of Montreuil,"It's early summer and Agathe is back in France, at home in Montreuil. She has to get over her husband's death and return to her work as a film director. The unexpected arrival at her house of a couple of Icelanders, a sea lion and a neighbour that she has always desired yet never vanquished will give Agathe the strength to get her life back on track..."
Broken Horses,"The bonds of brotherhood, the laws of loyalty, and the futility of violence in the shadows of the US Mexico border gang wars."
Satan Met a Lady,"In the second screen version of The Maltese Falcon, a detective is caught between a lying seductress and a lady jewel thief."
おおかみこどもの雨と雪,"Hana, a nineteen-year-old college student, falls in love with a man only for him to reveal his secret; he is a Wolf Man. Eventually the couple bear two children together; a son and daughter they name Ame and Yuki who both inherit the ability to transform into wolves from their father. When the man Hana fell in love with suddenly dies, she makes the decision to move to a rural town isolated from society to continue raising the children in protection."
The Mysterious House of Dr. C.,"The Mysterious House of Dr. C. (1976) is a rarely seen, reworked version of the 1966 Dr. Coppelius, a dance film based on the classic 19th-century Leo Delibes ballet ""Coppelia."" This version contains poorly received songs, narration, and animation sequences not in the original."
Bright Star,"In 1818, high-spirited young Fanny Brawne finds herself increasingly intrigued by the handsome but aloof poet John Keats, who lives next door to her family friends the Dilkes. After reading a book of his poetry, she finds herself even more drawn to the taciturn Keats. Although he agrees to teach her about poetry, Keats cannot act on his reciprocated feelings for Fanny, since as a struggling poet he has no money to support a wife."
O Coronel e o Lobisomem,"Colonel Furtado struggles to keep his lands, the Sobradinho Farm, and win the heart of his cousin Esmeraldina. In the process, he fights big beasts, experiences the taste of a bohemian life in town, fends usurers and thieves off, and uses all his cunning to get rid of haunting entities. His rival is the man he was brought up with, Pernambuco Nogueira, a werewolf."
Barbie Mariposa and Her Butterfly Fairy Friends,"Elina, heroine of the Fairytopia films tells her friend Bibble the story of Flutterfield, a faraway kingdom populated by fairies with butterfly wings. Henna, the evil butterfly fairy has poisoned the queen of Flutterfield in an attempt to take over the kingdom."
Bananas!*,"Juan “Accidentes” Dominguez is on his biggest case ever. On behalf of twelve Nicaraguan banana workers he is tackling Dole Food in a ground-breaking legal battle for their use of a banned pesticide that was known by the company to cause sterility. Can he beat the giant, or will the corporation get away with it?"
L'Étudiante,"Romantic comedy about an ambitious teaching student, busy preparing for her final exams, whose studies are interrupted by a passionate affair with a jazz musician.
 Twenty-one-year-old Valentine (Sophie Marceau) works part time as a teacher while she prepares for her all-important final exams.  She meets Edouard (Vincent Lindon), a jazz musician who hopes to someday be a composer.  Despite the fact that the two have different schedules and career agendas, they engage in a passionate affair.  Valentine compares her relationship with Edouard to the dry dissertation of Moliere's The Misanthrope during her oral exams at the Sorbonne. aka - 'You Call It Love'."
Along the Great Divide,"New Federal marshal Len Merrick saves Tim Keith from lynching at the hands of the Roden clan, and hopes to get him to Santa Loma for trial. Vindictive Ned Roden, whose son Ed was killed, still wants personal revenge, and Tim would like to escape before Ned catches up with him again. Can the marshal make it across the desert with Tim and his daughter? Even if he makes it, will justice be served?"
Louis C.K.: One Night Stand,"Boldly original comedian Louis C.K. brings the audience to hysterics in this live HBO stand-up performance. In a blistering routine, the award-winning comic exposes life's most absurd realities with his signature blend of raw wit and twisted wisdom. Named one of the ""Ten Comics to Watch"" by Variety, C.K. won an Emmy for his comedy writing and has appeared regularly on Comedy Central, HBO and many late-night talk shows."
Råzone,"Christina is living in a suburb to Copenhagen. With her class mates Cecilie, Trine and Pernille she slacks her school work, living mostly for the weekends of gate crashing, getting drunk, experimenting with drugs and scoring guys. But her world is turned upside down when Cecilie's boyfriend Shaid starts hitting on her, and Cecilie mistakenly believes the two of them are making out."
Peeples,The story follows what happens when a child psychologist surprises his girlfriend by showing up at her political family's annual get-together at their Sag Harbor vacation home only to find them desperately in need of therapy.
Off the Menu: The Last Days of Chasen's,"In 1995, Chasen's closed its doors after 60 years of serving chili to movie stars and visiting dignitaries, Presidents and the Pope. During its two final weeks, Chasen regulars (actors and producers), staff, and management sat for interviews. There's an Oscar party for 1500, footage and photos of famous diners, and time with Tommy Gallagher, the ebullient head waiter until retirement in 1994, his son Patrick, catering head Raymond Bilbool, general manager Ronnie Clint, hat check girl Val Schwab, ladies' room attendant Onetta Johnson, and foreign- born waiters, including Jaime. When he started in 1970, like other Latins, he wasn't allowed out of the kitchen. It's a family farewell."
Czarny Czwartek. Janek Wiśniewski padł,"Antoni Krauze reminds one of the darkest history of the cards with PRL. Spectacular reconstruction of the dramatic events in Gdynia, ended a brutal pacification of demonstrators by troops and militia in 1970."
Pompeii: The Mystery of the People Frozen in Time,"In a one off landmark drama documentary for BBC One, Dr Margaret Mountford presents Pompeii: The Mystery Of The People Frozen In Time."
The Transfiguration,"A New York tale about love, loss… and vampires."
Šakalí léta,"A period musical comedy set in a quiet Prague quarter at the end of the fifties. Using the western plot device of the ""man from nowhere"" a generation gap story unfolds of changing social climate. The action is driven by the character of a young man named Baby who causes a local rebellion by bringing rock'n'roll to a Communist neighborhood raised on swing."
Mauri,"Rewi Rapana returns to the small country town of Te Mata after his family has left the district. His arrival rekindles old tensions as well as renewing family ties. He is seeking an identity and a permanent place to call home yet desperately hiding a secret from his past. Oddly enough there is one person with whom he finds peace of mind. She is an old woman known as Kara. A special relationship develops between Rewi, Kara and Kara’s great granddaughter Awatea."
L'amico del cuore,"Roberto is a doctor in a small town near Naples. He suffers from a severe heart disease and he is heading toward an American hospital for a dangerous surgery with little or no hope of surviving. Therefore he talks to his best friend since childhood, Michele, a columnist at the local newspaper, explaining his last and long-wanted desire: having sex once with his Swedish beautiful wife, Frida."
Escalofrío,"Andy and Thelma, an urbanite couple living in Madrid, leave their apartment for a pleasant day around the city with their dog. They cross paths with Bruno and Anne, a strange couple who invite them to their foreboding country estate. A storm hits that evening and the two stay overnight. The couples engage in a bit of harmless communication with spirits via ouija board, but soon past conflicts arise Thelma had an affair with Andy's brother, and Anne criticizes Bruno over his attempted suicide. This is only the beginning of all the horrors that will haunt them in the house."
Adieu au langage,About a man who’s angry at his wife because she’s met another man on a park bench and they no longer even speak the same language.
Agente Logan - missione Ypotron,Agent Lemmy Logan is investigating the case of a missing NASA scientist and discovers that an ex nazi is developing  a new super weapon.
A Thousand Cuts,"A stranger with a haunted past shows up unannounced at the home of Hollywood's hottest horror director, and is determined to teach him what real horror is all about."
The Star Packer,"John Travers and Yak, his faithful Indian sidekick, pick up where a murdered sheriff leaves off, and try to nab the mysterious Shadow."
The Lathe of Heaven,"George Orr, a man whose dreams can change waking reality, tries to suppress this unpredictable gift with drugs. Dr. Haber, an assigned psychiatrist, discovers the gift to be real and hypnotically induces Mr. Orr to change reality for the benefit of mankind --- with bizarre and frightening results."
Jönssonligan spelar högt,"Hör och häpna! De gamla kumpanerna Ragnar Vanheden och Dynamit Harry har bestämt sig för att bli...hederliga. Därför har de startat AB Alltjänst. Doris arbetar naturligtvis som firmans sekreterare. En dag blir Ragnar och Harry kontaktade av en äldre dam som erbjuder dem ett aningen originellt uppdrag: att bevaka Kungliga Operan i Stockholm.Den gamla damen har emellertid ett kriminellt förflutet. Och inte nog med det - hon är ocksp Sickans mormor! Och som inte detta skulle räcka, bor även Sickans lillebror, Sven-Ingvar, kvar hemma hos mormor! Det visar sig att den gamle ärkeskurken Wall-Enberg tänker lägga beslag på Operans hela Eu bidrag i maskopi med den avgående Operachefen och en italiensk kumpan med djupa förgreningar i den sicilianska maffian. Nu gäller det för Jönssonligan - förlåt - AB Alltjänst att hinna före. Och det blir bråttom...oerhört bråttom!"
The World in His Arms,"Gregory Peck is a boisterous sea captain in the Pacific Coast, circa 1850, who has a plan to buy Alaska from the Russians… if they don’t kill him first."
Aziz Ansari: Buried Alive,"Standup comedian Aziz Ansari (""Parks and Recreation"") headlines his third standup special, where he shares his uniquely hilarious perspective on fears of adulthood, babies, marriage, and more. Ansari's look at life on the cusp of 30 years old is smart, unfiltered, and hysterical."
Comedy Central Roast of Charlie Sheen,It's Charlie Sheen's turn to step in to the celebrity hot seat for the latest installment of The Comedy Central Roast.
Terrore Sull'Everest,"An adaptation of Jon Krakauer's best selling book, ""Into Thin Air: A Personal Account of the Mt. Everest Disaster"". This movie attempts to re-create the disastrous events that took place during the Mount Everest climb on May 10, 1996. It also follows Jon Krakauer throughout the movie, and portrays what he was going through while climbing this mountain."
A Christmas Melody,"""A Christmas Melody"" revolves around Kristin, a beautiful, stylish divorcee who is a talented clothing designer and her young daughter. Kristin has just had to close her small Manhattan boutique to return to her Ohio home town and live in her parents' former home. It's an adjustment for Kristin and Emily - especially when she runs into her former high school rival Melissa."
Jess + Moss,"Jess, age 18, and Moss, age 12 are second cousins in the dark-fire tobacco fields of rural Western Kentucky. Without immediate families that they can relate to, and lacking friends their own age, they only have each other. Over the course of a summer they venture on a journey exploring deep secrets and hopes of a future while being confronted with fears of isolation, abandonment and an unknown tomorrow."
Battle for Brooklyn,"An intimate look at the very public and passionate fight waged by residents and business owners of Brooklyn’s historic Prospect Heights neighborhood facing condemnation of their property to make way for the polarizing Atlantic Yards project, a massive plan to build 16 skyscrapers and a basketball arena for the New Jersey Nets."
Русалка,"The fanciful tale of an introverted little girl who grows up believing she has the power to make wishes come true. She must reconcile this belief with reality when, as a young woman, she journeys to Moscow and grapples with love, modernity and materialism."
The Court Jester,A 12th century court jester in England becomes involved with a desperate band of outlaws who are attempting to overthrow the king.
Más negro que la noche,"When four women move into an old house left by one woman's aunt, strange things begin to happen. Bizarre voices, visions of ghosts, and mysterious noises lead them to discover the darkest powers of evil and a horror and agony beyond terror."
The Feminine Touch,A professor (Don Ameche) and his wife (Rosalind Russell) move to New York and confuse a publisher's romance with his assistant (Kay Francis).
Algorithm,A freelance computer hacker discovers a mysterious government computer program. He breaks into the program and is thrust into a revolution.
Bottle Shock,"Paris-based wine expert Steven Spurrier heads to California in search of cheap wine that he can use for a blind taste test in the French capital. Stumbling upon the Napa Valley, the stuck-up Englishman is shocked to discover a winery turning out top-notch chardonnay. Determined to make a name for himself, he sets about getting the booze back to Paris."
In Security,The owners of a failing security company start robbing houses to boost business.
Bull Durham,"Veteran catcher Crash Davis is brought to the minor league Durham Bulls to help their up and coming pitching prospect, ""Nuke"" Laloosh. Their relationship gets off to a rocky start and is further complicated when baseball groupie Annie Savoy sets her sights on the two men."
Chitty Chitty Bang Bang,"An eccentric professor invents wacky machinery, but can't seem to make ends meet. When he invents a revolutionary car, a foreign government becomes interested in it, and resorts to skulduggery to get their hands on it."
Cinematographer Style,110 of the world's top cinematographers discuss the art of how and why films look the way they do.
La novia,"Based on the famous play ""Bodas de sangre"" (Blood Wedding) by Federico García Lorca, La novia tells the story of a passionate love triangle. A bride leaves her groom, no longer able to withstand the surging desires of her lover, Leonordo."
Trouble in Mind,"The lives of an ex-con, a coffee-shop owner, and a young couple looking to make it rich intersect in the fictional and hypnotic Rain City."
"Inara, the Jungle Girl","Inara, The Jungle Girl (2012) is about a young girl in the military whose world comes crashing down when her father passes away. Offered a mission to the remote island of N'iah in order to exploit the precious oil and metals found there. Inara  discovers that the jungle and the women who inhabit it, have more in common with her than she knows."
The Magnificent Seven Ride!,"Marshal Chris Adams turns down a friend's request to help stop the depredations of a gang of Mexican bandits. When his wife is killed by bank robbers and his friend is killed capturing the last thief, Chris feels obligated to take up his friend's cause and recruits a writer and five prisoners to destroy the desperadoes.The last in the original series of four ""Magnificent Seven"" movies."
Bewitched,"Thinking he can overshadow an unknown actress in the part, an egocentric actor unknowingly gets a witch cast in an upcoming television remake of the classic show ""Bewitched""."
Hellraiser: Deader,"In London, after investigating crack addicted junkies for an article in her newspaper, Amy Klein watches a bizarre videotape where an underground group of youngsters in Bucharest apparently becoming zombies. Amy finds Marla dead with a puzzle cube in her hands. She brings the object to her hotel room, and opens it, beginning her journey to hell."
Red Dust,"Sarah Barcant, a lawyer in New York City who grew up in South Africa, returns to her childhood dwelling place to intercede for Alex Mpondo, a Black South African politician who was tortured during apartheid."
An Inspector Calls,A mysterious Inspector investigates the wealthy Birling family and their dinner guests following the suicide of a young woman.
Road,"Brothers addicted to speed at any price. Documentary following the motorcycle road racing careers, and fate, of the Dunlop family."
Enragés,"After a bank job goes badly wrong, three desperate criminals take a young woman and a father and child hostage - it's the beginning of a frantic and violent road trip that not all of them will survive."
Φτηνά Τσιγάρα,A comedy that follows several people on an August night in Athens.
این فیلم نیست,"It's been months since Jafar Panahi, stuck in jail, has been awaiting a verdict by the appeals court. By depicting a day in his life, Panahi and Mojtaba Mirtahmasb try to portray the deprivations looming in contemporary Iranian cinema."
Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own."
Tig Notaro: Boyish Girl Interrupted,"Known for her distinctive storytelling and offbeat sense of humor, Tig Notaro often draws on her highly personal experiences with no-holds-barred honesty. Over the course of her one-hour show, Notaro tells stories about a number of subjects, including: the search for the perfect Santa Claus; her favorite laugh noises; bringing her fiancée to meet her Mississippi family; TSA screening; flying in small planes; unusual public signs; and more."
Milton Glaser: To Inform & Delight,"His name might not be very familiar, but the works of graphic artist Milton Glaser -- whose prolific output includes the ""I Love NY"" ad campaign, as well as album covers for Townes Van Zandt and Nina Simone -- are recognizable to many. Revisiting the famed paintings, drawings, logos, prints, posters and other works by Glaser, filmmaker Wendy Keys creates a rich and engaging mosaic of a key figure in American iconography."
Anna Karenina,"Stefan and Dolly Oblonsky have had a spat and Stefan has asked his sister, Anna Karenina, to come down to Moscow to help mend the rift. Anna's companion on the train from St. Petersburg is Countess Vronsky who is met at the Moscow station by her son. Col. Vronsky looks very dashing in his uniform and it's love at first sight when he looks at Anna and their eyes meet."
Sur,"Tina Marie D'Silva lives a middle-class lifestyle in a small town in India along. One day renowned singer, Vikramaditya Singh, hears her voice and enrolls her in his prestigious school. After a few clashes, Tina manages to amaze everyone with her talents - so much so that she is invited to sing along with Vikramaditya himself. On the day of the recording, Tina fails to appear. An angered Vikramaditya decides to have nothing to do with her. He subsequently changes his mind, goes to visit her, and finds out that she is now a nun. After many attempts he succeeds in convincing her to return to sing with him at his very first live concert to which she agrees. On the day of the concert Tina is all set to sing, but this time Vikramaditya fails to show. Watch what impact this has on Tina and the concert itself."
Searchers,"Inuk filmmaker Zacharias Kunuk (Atanarjuat: The Fast Runner) returns with this Arctic epic inspired by the classic John Ford western of the same name, about a vengeful husband who sets off in pursuit of the violent men who kidnapped his wife and destroyed his home."
Point of Order!,"Point of Order is compiled from TV footage of the 1954 Army-McCarthy hearings, in which the Army accused Senator McCarthy of improperly pressuring the Army for special privileges for Private David Schine, formerly of McCarthy's investigative staff. McCarthy accused the Army of holding Schine hostage to keep him from searching for Communists in the Army. These hearings resulted in McCarthy's eventual censure for conduct unbecoming a senator."
Smashing Time,"Two young women arrive in London to make it big in show business, and become corrupted by money and fame in the process."
Beautiful & Twisted,"Following the murder of hotel heir Ben Novack Jr., police focus their investigation on his wife, Narcy."
Babylon 5: The Lost Tales - Voices in the Dark,"This latest installment of Babylon 5 is in two parts: the first, is about an entity that has possessed a worker. It wants to be exorcised but Col. Lochley prevents the priest &amp; sends it &amp; the host both back to Earth. The second is about Galen trying to dupe President Sheridan into assassinating the future Centauri President to stop him possibly attacking Earth in 30 years time."
Waterborne,"Heera Bhatti, an American-Sikh, runs a corner store in Los Angeles with the help of her son, Vikram, and Gulu. She does not approve of Vikram's Caucasian girlfriend, Lillian, and would prefer that Vikram marry a Punjabi girl, but Vikram has made up his mind. Then the lives of all Californians are turned upside down when one morning eight people are dead after drinking contaminated tap water."
Uncounted,"UNCOUNTED exposes how the election fraud that altered the outcome of the 2004 election led to even greater fraud in 2006 and now looms as an unbridled threat to the outcome of the 2008 election. The controversial film examines in factual, logical, and yet startling terms how easy it is to change election outcomes and undermine election integrity across the U.S. Beyond increasing the public's awareness, UNCOUNTED inspires greater citizen involvement in fixing a broken electoral system."
Doctor Who: Planet of the Dead,"A meeting in a London bus with jewel thief Lady Christina takes a turn for the worst for the Doctor when the bus takes a detour to a desert-like planet, where the deadly Swarm awaits. (Taken from the imdb page)"
The Catechism Cataclysm,"Father William Smoortser drops his bible into a toilet at a rest stop just before embarking on a day-long canoe trip, breaking loose all glorious hell."
The Creeping Terror,A newlywed sheriff tries to stop a shambling monster that has emerged from a spaceship to eat people.
Sedamdeset i dva dana,"A family from isolated village in Lika makes a good living out of American pension earned by their late granddad Djuradj and received by his widow Nedja. The very existence of a family is threatened when Nedja dies, but the head of the family comes up with a cunning plan."
Warum läuft Herr R. Amok?,"Herr Raab is a technical draftsman. His wife pushes him to seek a promotion, which may be a long shot after he gives a dull and tipsy toast at an office dinner. But why would Herr Raab run amok?"
Jeepers Creepers,"A college-age brother and sister get more than they bargained for on their road trip home from spring break. When the bickering siblings witness a creepy truck driver tossing body bags into a sewer near an abandoned church, they investigate. Bad move! Opening a Pandora's Box of unspeakable evil, the pair must flee for their lives -- with a monstrous ""shape"" in hot pursuit."
Devolved,"A raucous teen comedy produced in association with Severin Films, Devolved stars Gary Entin (the upcoming Seconds Apart), Lindsey Shaw (10 Things I Hate About You), and Robert Adamson (Lincoln Heights) as leaders of opposing factions of teenagers who find themselves shipwrecked on an uncharted island off the Mexican coast. Faced with the prospect of a long-term stay, the island soon degenerates into a struggle between two groups; teens who want high school to end as fast as possible, and teens who never want high school to end."
The Black Room,Paul and Jennifer Hemdale have just moved into their dream house. But their happy marriage is about to be put to the test as they slowly discover the secret behind the black room in the cellar. Something else is already living in their new home and it is growing stronger every day.
Walt & El Grupo,"The year was 1941, and the world was on the brink of war. In an effort to improve relations between the Americas, the Roosevelt administration called upon one of Hollywood’s most influential filmmakers to embark on a special goodwill tour. Written and directed by Theodore Thomas (“Frank and Ollie”) and produced by Kuniko Okubo, the documentary WALT &amp; EL GRUPO chronicles the amazing ten-week trip that Walt Disney and his hand-picked group of artists and filmmaking talent (later known as “El Grupo”) took to South America at the behest of the U.S. Government as part of the Good Neighbor Policy."
Superman III,"Aiming to defeat the Man of Steel, wealthy executive Ross Webster hires bumbling but brilliant Gus Gorman to develop synthetic kryptonite, which yields some unexpected psychological effects in the third installment of the 1980s Superman franchise. Between rekindling romance with his high school sweetheart and saving himself, Superman must contend with a powerful supercomputer."
Бабник,
Baadshah,"K. Jhunjhunwala would like to locate his missing/runaway daughter, Seema Malhotra, so that he can get her married to Nitin Dharampal; Prominent businessman, Mahindra, would like to negotiate with his daughter, Sonu's kidnappers, and secure her release. And the Central Bureau of Investigation would like to protect the life of Chief Minister Gayetri Bachchan under the mission code-named ""Maa"", and the CBI Officer in Charge to be code-named ""Baadshah"". Now Baadshah happens to be a bumbling and out of work Private Investigator, who has agreed to assist Jhunjhunwala and Mahindra, and while doing so is mistaken for the CBI Agent, ends up working for the assassins, and must assassinate Gayetri or end up losing his team of four fellow-bumblers, and Mahindra's daughter. What results is hilarious chaos, with no one knowing what the other is doing, and each one being each other's suspect(s). To make matters worse Jhunjhunwala is not really Seema's dad, but someone else with an ulterior motive."
The Devil's Double,A chilling vision of the House of Saddam Hussein comes to life through the eyes of the man who was forced to become the double of Hussein's sadistic son.
Pro Wrestlers vs Zombies,The Franchise Shane Douglas accidentally kills a wrestler in the ring. The wrestler's brother Angus seeks revenge by surrendering his soul to an ancient demon to gain the power to raise the undead. Angus then pays for a private show at an empty prison to lure Douglas and his friend Rowdy Roddy Piper into a death trap.
Sleepless,"Undercover Las Vegas police officer Vincent Downs is caught in a high stakes web of corrupt cops and the mob-controlled casino underground. When a heist goes wrong, a crew of homicidal gangsters kidnaps Downs’ teenage son. In one sleepless night he will have to rescue his son, evade an internal affairs investigation and bring the kidnappers to justice."
Cárcel de Mujeres,
Down the Shore,"Set on the Jersey shore, the lives of three childhood friends begin to unravel when a secret from their past is revealed"
The Man Who Sued God,"A lawyer becomes a fisherman from frustration. When his one piece of property, his boat, is struck by lightning and destroyed he is denied insurance money because it was “an act of God”. He re-registers as a lawyer and sues the insurance company and, as God’s representative, The Church."
Any Number Can Play,"Clark Gable stars in this 1949 drama, directed by Mervyn LeRoy, about a casino owner juggling both business and family problems. The cast also includes Alexis Smith, Mary Astor, Darryl Hickman, Marjorie Rambeau, Lewis Stone, Audrey Totter and Wendell Corey."
Addicted,A gallerist risks her family and flourishing career when she enters into an affair with a talented painter and slowly loses control of her life.
The Postman,"In 2013 there are no highways, no I-ways, no dreams of a better tomorrow, only scattered survivors across what was once the Unites States. Into this apocalyptic wasteland comes an enigmatic drifter with a mule, a knack for Shakespeare and something yet undiscovered: the power to inspire hope."
Borsalino,"In 1930 Marseilles two small-time crooks join forces when they meet brawling over a woman. Starting with fixed horse races and fights, they start to find themselves doing jobs for the local gangster bosses. When they decide to go into the business for themselves, their easy-going approach to crime starts to change."
Fishing Naked,"Fishing Naked is a comedy. It is a film about four young adults being bad in the woods. They pull Bigfoot hoaxes, scare tourists, disrespect their elders, hook up and smoke dope. That is until they realize there is an alien creature they have inadvertently put in harms way with all the attention they have been attracting to their rural mountain community. As their relationships fray, they hatch a half-baked plot to pull the biggest hoax yet to right their wrongs by deliberately getting caught in the act."
"What Next, Corporal Hargrove?",An Army corporal (Robert Walker) and his con-man sidekick (Keenan Wynn) take a shortcut to heroism in World War II France.
Fantastic Four,"During a space voyage, four scientists are altered by cosmic rays: Reed Richards gains the ability to stretch his body; Sue Storm can become invisible; Johnny Storm controls fire; and Ben Grimm is turned into a super-strong … thing. Together, these ""Fantastic Four"" must now thwart the evil plans of Dr. Doom and save the world from certain destruction."
Cyrus: Mind of a Serial Killer,"A small independent news crew investigates a series of unexplained disappearances in a small Midwestern county. They find themselves interviewing a man who possesses an all too intimate knowledge of the details of ""The County Line Cannibal"" - Cyrus. Based on a true story."
Sgt. Bilko,The army is known for churning out lean mean fighting machines intent on protecting our great nation. Martin is the inexplicable the incorrigible the invicible sgt. Ernie bilko leader of a ragtag group of the sorriest soldiers ever to enlist in the armed forces.
Stratton,A British Special Boat Service commando tracks down an international terrorist cell.
Mystery Men,"When Captain Amazing (Kinnear) is kidnapped by Casanova Frankenstein (Rush) a group of superheroes combine together to create a plan. But these aren't normal superheroes. Now, the group who include such heroes as Mr. Furious (Stiller), The Shoveller (Macy) and The Blue Raja (Azaria) must put all the powers together to save everyone they know and love."
Happy Christmas,"After a breakup with her boyfriend, a young woman moves in with her older brother, his wife, and their 2-year-old son."
Stormy Monday,"When a corrupt American businessman tries to strong arm his way into businesses in Newcastle, England, he is thwarted by an club attendant and his waitress girlfriend."
Song of Freedom,"John Zinga is a black dockworker in England in the 18th century, with a great baritone singing voice. He is discovered by an opera impresario, and is catapulted into great fame as an international opera star. Yet he feels alienated from his African past, and out of place in England. By chance, he is informed that an ancestral medallion that he wears is proof of his lineage to African kings, and he leaves fame and fortune to take his rightful place of royalty. Reunited with his people, he plans to improve their lives by combining the best of western technology with the best of traditional African ways."
Bad Hair Day,"The film is about a high school tech whiz (Laura Marano), who is determined to become prom queen. But on the big day, she suddenly wakes up having a bad hair day, and her destroyed prom dress, and everything that can go wrong, does go badly wrong. A police officer (Leigh-Allyn Baker) seeks the necklace that the teen somehow ends up possessing. Prom day goes really bad as the pair is pursued by a dogged jewel thief (Christian Campbell) on a wild ride cross around the city."
Dr. Jekyll and Mr. Hyde,"Dr. Henry Jekyll is a well-regarded physician whose evenings are spent researching a rare and sacred Amazonian flower so potent it's said to literally separate the soul, giving life to man's Dark Self. The obsessive experiments to isolate its psychotropic properties happen to coincide with a series of brutal murders gripping the city with fear. Jekyll knows it's no coincidence. While his nights are lost to him, he awakens with bloody mementos and violent memories of the screams of his victims."
Ich und Er,"A man's enthusiastic penis starts talking to him, getting him into awkward situations and convincing everyone he tells that he's completely insane."
Burai hijô,"Goro Fujikawa (Tetsuya Watari) was indebted to Mitsugimoto. Sawada, a low rank yakuza with a gambling problem, owed Mitsugimoto three million yen. This equation can only lead to one answer. Mitsugimoto needs to pay and Goro's coming to collect."
Tabu,"When Pilar's befriended neighbour Aurora dies, Pilar starts to dig into Aurora's past and learns about Aurora's very tragic love story."
Soylent Green,"In an overpopulated futuristic Earth, a New York police detective finds himself marked for murder by government agents when he gets too close to a bizarre state secret involving the origins of a revolutionary and needed new foodstuff."
All the Way Home,A wife and mother in 1915 Tennessee copes with the loss of her husband and the necessity of raising their children alone.
The Accused,A prim psychology professor fights to hide a murder she committed in self-defense.
Pauline & Paulette,"Pauline is a 'little girl of 66 years old'. She is mentally retarded and been cared after by her sister Martha. When Martha dies, her two younger sisters, Paulette and Cecile have to make a decision on the best place for Pauline to be looked after. Neither of them is ready to take care of her. Paulette has a shop to look after and Cecile has her Albert. But according to Martha's last will, her fortune will only be divided in three equal parts if one of the sisters looks after Pauline. If they decide to take her to an institution, Pauline will be the only heir."
Triangle,"The story revolves around the passengers of a yachting trip in the Atlantic Ocean who, when struck by mysterious weather conditions, jump to another ship only to experience greater havoc on the open seas."
La Fille coupée en deux,"Gabrielle Deneige is an independent, ambitious TV weather girl torn between her love of a distinguished author several decades her senior, and the attentions of a headstrong, potentially unstable young suitor. An unspoken past between the two men heightens tensions, and though she's initially certain of her love for one them, the see-saw demands and whims of both men keep confusing - and darkening - matters. Before long she's encountering emotional and societal forces well beyond her control, inexorably leading to a shocking clash of violence and passion."
Chris Tucker Live,Comedian Chris Tucker performs live.
The Killing Game,"Eve Duncan is contacted, 10 years after the disappearance and murder of her 7-year-old daughter Bonnie, by a man claiming to be her killer. Taunted by his clues about Bonnie's case and his threats to kill again, she throws herself into her career as a forensic sculptor and works to close the case."
The Underneath,"A young newlywed couple find themselves trapped in a network of underground caves. With her husband injured, the new bride is forced to find her way back to the surface in order to save his life. In the process, they discover a terrifying truth about the ""underneath"", they are not alone. Something evil is hunting them."
Quarantine 2: Terminal,A plane is taken over by a mysterious virus. When the plane lands it is placed under quarantine. Now a group of survivors must band together to survive the quarantine.
Pornography: A Thriller,A Thriller weaves together three different but curiously related stories centering on the mysterious disappearance of quintessential “boy-next-door” porn star Mark Anton.
Lady on a Train,"While waiting at a train station, Nikki Collins witnesses a murder from a nearby building. When she brings the police to the scene of the crime, they think she's crazy since there's no body. She then enlists a popular mystery writer to help with her sleuthing"
German Angst,"Horror anthology consisting of three episodes directed by Jörg Buttgereit, Andreas Marschall and Michal Kosakowski."
Il mondo di Yor,"This Italian-Turkish co-production helmed by genre veteran Antonio Margheriti (using the pseudonym ""Anthony M. Dawson"") was cobbled together from a four-part science-fiction miniseries shown on Italian television. In prehistoric times, the muscular Yor (Reb Brown in a loincloth) saves his cave-babe (Corinne Clery) from a dinosaur just before they get zapped into the future to battle bad guys in the familiar desolate wasteland. Genre stalwart John Steiner (Caligole) and the ubiquitous Luciano Pigozzi co-star with Carol Andre."
Golden Earrings,A British colonel (Ray Milland) escapes from the Gestapo to the Black Forest and poses as a Gypsy's (Marlene Dietrich) mate.
ラビット・ホラー３Ｄ,"To his mute sister's dismay, a young boy puts a dying rabbit out of its misery with a brick -- and soon the siblings end up in a world of nightmares."
Perry Mason: The Case of the Silenced Singer,Perry Mason defends the husband of a famous rock singer who was found being killed after having had a tremendous discussion with her husband and her manager.
うさぎドロップ,"Daikichi learns that his recently deceased grandfather has an illegitimate daughter with an unknown mother. The girl's name is Rin and she is just 6 years old. Everybody in Daikichi's family looks at the girl as an embarrassment and wants no part of her. Daikichi, annoyed by his family's attitude, decides to raise Rin by himself. Even though Daikichi himself has no experience raising a child and is still single. The movie is based on Yumi Unita's popular manga series ""Usagi Drop""."
